,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV3,TRAV20
0,HIP00779.txt,5946,,5104,1550,356,1122,12.0,24,1995,3411,,29.0,28.0,59.0,2905,6229,987,3453,3999,547.0,45.0,3109,785,3071,122,,10507,2270.0,2512,3546,2416,3131,2.0,4056,2531,3308,,1396,3000,212,,307,14818,4548,5860,4850,2.0,72.0,1593,804,1204,457,3253,,67.0,30.0,1867,2447,511.0,2152,460,551,112,,1.0
0,HIP01091.txt,8024,,9777,2584,662,2090,54.0,47,3460,9417,,44.0,45.0,75.0,4159,6521,907,7437,4036,971.0,39.0,3842,1630,5559,248,,9493,3584.0,1680,3086,205,7374,3.0,4167,1289,5833,,1693,2785,439,,1348,16841,8360,8550,5436,,136.0,2362,1513,1344,1086,10704,,150.0,79.0,1203,3674,853.0,3870,493,505,127,,
0,HIP01255.txt,16341,1.0,12917,4006,1505,3895,41.0,56,8051,17783,1.0,73.0,57.0,139.0,6868,12907,2058,12612,6134,1786.0,76.0,5680,2503,7661,318,,16259,6678.0,4511,5297,6068,11735,2.0,5751,12547,11358,,2831,6822,623,5.0,1657,26229,8365,15388,9596,,214.0,3866,2664,1681,1160,14337,,218.0,91.0,2818,6458,1714.0,6185,794,671,179,,
0,HIP13478.txt,4816,,4408,1809,581,1297,14.0,27,2307,3421,,36.0,14.0,53.0,3202,5380,860,1617,5034,857.0,34.0,2361,755,2702,148,,9082,7.0,1203,2967,5807,4501,3.0,3526,8386,4149,,1309,2450,235,2.0,563,11403,4687,7208,3276,,105.0,1656,1268,717,445,6509,,93.0,54.0,1130,2562,527.0,2744,657,658,100,,
0,HIP17585.txt,7717,,14299,4147,838,2804,58.0,265,3028,10812,1.0,51.0,57.0,101.0,6989,10827,2090,7967,8943,1794.0,66.0,3836,2240,5420,202,,19122,3059.0,3148,5828,9066,8898,6.0,7398,26258,16287,,2598,6052,473,1.0,1457,26068,8788,14822,11016,,211.0,4153,2973,1630,724,10135,,195.0,78.0,1838,6088,1085.0,3664,1391,1595,116,,
0,HIP03685.txt,3155,,3036,725,242,626,6.0,8,1193,2884,,32.0,23.0,31.0,1726,3731,292,3268,1787,321.0,15.0,793,342,1470,75,,4868,2200.0,1400,1769,2048,1450,,2538,4612,2230,,796,1213,94,,92,11854,2026,3131,2924,,43.0,1121,595,469,172,2886,,30.0,12.0,384,1021,235.0,1022,123,157,58,,
0,HIP10846.txt,11825,,19470,5353,1329,3666,61.0,66,6361,11915,5.0,102.0,73.0,166.0,9481,13476,2200,11373,10074,2287.0,97.0,3840,2142,7977,389,,20727,4560.0,5019,8788,7047,10045,1.0,10260,17130,13030,,4273,6098,828,1.0,2055,32187,14626,18549,10004,,299.0,5386,3231,2528,1988,17588,,266.0,114.0,1926,5768,1408.0,6967,1347,1866,298,,
0,HIP13853.txt,14227,1.0,16364,5521,1329,4589,59.0,410,2771,7666,,124.0,88.0,174.0,8647,15370,2617,4696,13520,2421.0,120.0,8680,2501,8090,333,,17533,8.0,4786,10733,15081,13755,2.0,9940,3168,14718,,4389,3305,916,,1962,33797,15518,19137,5950,1.0,265.0,5199,3589,4781,2844,20271,,332.0,99.0,2524,8395,1422.0,5782,1490,1768,257,,
0,HIP02875.txt,9092,,10391,3102,781,2026,23.0,187,2015,11211,1.0,31.0,31.0,73.0,5521,9251,1419,9115,5184,1594.0,43.0,4689,1543,4889,214,,11715,5993.0,2162,3962,8155,5918,,4705,890,7030,,1661,2335,445,4.0,1158,16159,8098,10891,5905,2.0,198.0,2607,1851,2053,1442,10767,,142.0,74.0,2483,4076,430.0,3899,942,1072,111,,
0,HIP01393.txt,6994,,11699,3368,713,2196,58.0,231,1807,4613,,52.0,50.0,81.0,6255,10716,2376,3132,10406,1562.0,58.0,4865,2364,5476,169,,17756,8.0,2782,6757,8554,9526,2.0,5911,12974,7721,,2307,4887,532,1.0,1557,18743,9961,14343,7653,6.0,241.0,3405,2238,2001,1155,13395,,179.0,81.0,3126,6461,733.0,3999,1854,2053,121,,
